Query,COG Category,GO terms
lcl|CP074585.1_cds_UFH72330.1_19,I,"GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006629,GO:0006644,GO:0006650,GO:0006655,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0008962,GO:0009058,GO:0009987,GO:0010035,GO:0010038,GO:0016020,GO:0016021,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019637,GO:0030258,GO:0031224,GO:0031226,GO:0032026,GO:0042221,GO:0042577,GO:0042578,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044425,GO:0044459,GO:0044464,GO:0045017,GO:0046471,GO:0046474,GO:0046486,GO:0046839,GO:0050896,GO:0071704,GO:0071944,GO:0090407,GO:1901576"
lcl|CP074585.1_cds_UFH72331.1_20,M,"GO:0000270,GO:0000271,GO:0000287,GO:0003674,GO:0003824,GO:0003977,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0006022,GO:0006023,GO:0006024,GO:0006040,GO:0006047,GO:0006048,GO:0006139,GO:0006629,GO:0006725,GO:0006793,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009225,GO:0009226,GO:0009252,GO:0009273,GO:0009987,GO:0016051,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0016772,GO:0016779,GO:0018130,GO:0019134,GO:0019438,GO:0030203,GO:0033692,GO:0034637,GO:0034641,GO:0034645,GO:0034654,GO:0042546,GO:0042802,GO:0043167,GO:0043169,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046349,GO:0046483,GO:0046872,GO:0055086,GO:0070569,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1903509"
lcl|CP074585.1_cds_UFH72332.1_21,M,"GO:0003674,GO:0003824,GO:0004360,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006002,GO:0006040,GO:0006047,GO:0006048,GO:0006139,GO:0006464,GO:0006486,GO:0006487,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008483,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009225,GO:0009226,GO:0009987,GO:0016740,GO:0016769,GO:0018130,GO:0019438,GO:0019538,GO:0019637,GO:0034641,GO:0034645,GO:0034654,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046349,GO:0046483,GO:0055086,GO:0070085,GO:0070548,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"
lcl|CP074585.1_cds_UFH72333.1_22,M,-
lcl|CP074585.1_cds_UFH72334.1_23,S,-
lcl|CP074585.1_cds_UFH72335.1_24,S,-
lcl|CP074585.1_cds_UFH72336.1_25,E,"GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006547,GO:0006548,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009987,GO:0016054,GO:0016787,GO:0016810,GO:0016813,GO:0019439,GO:0019752,GO:0034641,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044282,GO:0046395,GO:0046483,GO:0046700,GO:0052803,GO:0052805,GO:0071704,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606"
lcl|CP074585.1_cds_UFH72337.1_26,Q,-
lcl|CP074585.1_cds_UFH72338.1_27,E,-
lcl|CP074585.1_cds_UFH72339.1_28,E,"GO:0003674,GO:0003824,GO:0004397,GO:0006082,GO:0006520,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016829,GO:0016840,GO:0016841,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0071704,GO:1901564"
lcl|CP074585.1_cds_UFH72340.1_29,E,-
lcl|CP074585.1_cds_UFH72341.1_30,S,-
lcl|CP074585.1_cds_UFH72342.1_31,K,-
lcl|CP074585.1_cds_UFH72343.1_32,I,-
lcl|CP074585.1_cds_UFH72344.1_33,S,-
lcl|CP074585.1_cds_UFH72345.1_34,S,-
lcl|CP074585.1_cds_UFH72346.1_35,E,-
lcl|CP074585.1_cds_UFH72347.1_36,Q,-
lcl|CP074585.1_cds_UFH72348.1_37,G,"GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006558,GO:0006559,GO:0006570,GO:0006572,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009072,GO:0009074,GO:0009987,GO:0016034,GO:0016054,GO:0016853,GO:0016859,GO:0017144,GO:0019439,GO:0019752,GO:0042737,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0071704,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606,GO:1902221,GO:1902222"
lcl|CP074585.1_cds_UFH72349.1_38,E,-
lcl|CP074585.1_cds_UFH72350.1_39,K,-
lcl|CP074585.1_cds_UFH72351.1_40,E,-
lcl|CP074585.1_cds_UFH72352.1_41,S,-
lcl|CP074585.1_cds_KIH05_00210_42,V,"GO:0003674,GO:0005215,GO:0006810,GO:0006855,GO:0008150,GO:0015238,GO:0015893,GO:0022857,GO:0042221,GO:0042493,GO:0042891,GO:0042895,GO:0046677,GO:0050896,GO:0051179,GO:0051234,GO:0055085"
lcl|CP074585.1_cds_UFH72353.1_43,S,-
lcl|CP074585.1_cds_UFH72354.1_44,Q,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006766,GO:0006767,GO:0006769,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008936,GO:0009058,GO:0009108,GO:0009117,GO:0009165,GO:0009820,GO:0009987,GO:0016787,GO:0016810,GO:0016811,GO:0017144,GO:0018130,GO:0019362,GO:0019363,GO:0019365,GO:0019438,GO:0019637,GO:0034641,GO:0034654,GO:0043094,GO:0043173,GO:0043603,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"
lcl|CP074585.1_cds_UFH72355.1_45,E,"GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006553,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008840,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009089,GO:0009987,GO:0016053,GO:0016829,GO:0016835,GO:0016836,GO:0019752,GO:0019877,GO:0042802,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607"
lcl|CP074585.1_cds_UFH74095.1_46,M,-
lcl|CP074585.1_cds_UFH72356.1_47,F,"GO:0003674,GO:0003824,GO:0004639,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006164,GO:0006188,GO:0006189,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016874,GO:0016879,GO:0016881,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046040,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"
lcl|CP074585.1_cds_UFH72357.1_48,-,-
lcl|CP074585.1_cds_UFH72358.1_49,P,"GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006855,GO:0008028,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015238,GO:0015318,GO:0015499,GO:0015711,GO:0015718,GO:0015724,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0042221,GO:0042493,GO:0042891,GO:0042895,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098656,GO:1903825,GO:1905039"
lcl|CP074585.1_cds_UFH72359.1_50,L,-
lcl|CP074585.1_cds_UFH74096.1_51,G,-
lcl|CP074585.1_cds_UFH72360.1_52,S,-
lcl|CP074585.1_cds_UFH72361.1_53,S,-
lcl|CP074585.1_cds_UFH72362.1_54,Q,-
lcl|CP074585.1_cds_UFH72363.1_55,FG,-
lcl|CP074585.1_cds_UFH72364.1_56,L,"GO:0003674,GO:0003824,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360"
lcl|CP074585.1_cds_UFH72365.1_57,M,-
lcl|CP074585.1_cds_UFH72366.1_58,-,-
lcl|CP074585.1_cds_UFH72367.1_59,L,-
lcl|CP074585.1_cds_UFH72368.1_60,S,"GO:0003674,GO:0003824,GO:0004033,GO:0005488,GO:0008106,GO:0008150,GO:0008152,GO:0008270,GO:0016491,GO:0016614,GO:0016616,GO:0043167,GO:0043169,GO:0046872,GO:0046914,GO:0055114"
lcl|CP074585.1_cds_UFH72369.1_61,K,-
lcl|CP074585.1_cds_UFH72371.1_63,-,-
lcl|CP074585.1_cds_UFH72372.1_64,K,"GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009628,GO:0009987,GO:0010212,GO:0010467,GO:0016070,GO:0018130,GO:0019438,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050896,GO:0071704,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576"
lcl|CP074585.1_cds_UFH72373.1_65,S,"GO:0003674,GO:0003824,GO:0004033,GO:0006081,GO:0008150,GO:0008152,GO:0009056,GO:0009438,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0042180,GO:0042182,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046185,GO:0047681,GO:0051596,GO:0055114,GO:0071704,GO:1901575,GO:1990002"
lcl|CP074585.1_cds_UFH72374.1_66,EGP,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"
lcl|CP074585.1_cds_UFH72375.1_67,S,-
lcl|CP074585.1_cds_UFH72376.1_68,E,"GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006553,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008839,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009089,GO:0009987,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0019752,GO:0019877,GO:0042802,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607"
lcl|CP074585.1_cds_UFH72377.1_69,-,-
lcl|CP074585.1_cds_UFH72378.1_70,O,"GO:0006457,GO:0008150,GO:0009987"
lcl|CP074585.1_cds_UFH72379.1_71,-,-
lcl|CP074585.1_cds_UFH72380.1_72,V,-
lcl|CP074585.1_cds_UFH72381.1_73,M,-
lcl|CP074585.1_cds_UFH72382.1_74,K,-
lcl|CP074585.1_cds_UFH72383.1_75,H,"GO:0003674,GO:0003824,GO:0004611,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0008150,GO:0008152,GO:0008964,GO:0009060,GO:0009987,GO:0015980,GO:0016829,GO:0016830,GO:0016831,GO:0016999,GO:0017144,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0055114,GO:0071704,GO:0072350"
lcl|CP074585.1_cds_UFH72384.1_76,F,"GO:0003674,GO:0005215,GO:0005350,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006139,GO:0006206,GO:0006208,GO:0006212,GO:0006725,GO:0006807,GO:0006810,GO:0006855,GO:0008150,GO:0008152,GO:0009056,GO:0009112,GO:0009987,GO:0015205,GO:0015210,GO:0015238,GO:0015851,GO:0015855,GO:0015857,GO:0015893,GO:0016020,GO:0016021,GO:0017144,GO:0019860,GO:0022857,GO:0031224,GO:0031226,GO:0034641,GO:0042221,GO:0042493,GO:0042737,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044425,GO:0044459,GO:0044464,GO:0046113,GO:0046483,GO:0046700,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071702,GO:0071704,GO:0071705,GO:0071944,GO:0072527,GO:0072529,GO:0072531,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1903791,GO:1904082"
lcl|CP074585.1_cds_UFH72385.1_77,K,-
lcl|CP074585.1_cds_UFH72386.1_78,S,-
lcl|CP074585.1_cds_UFH72387.1_79,-,-
lcl|CP074585.1_cds_UFH72388.1_80,EG,-
lcl|CP074585.1_cds_UFH72389.1_81,J,"GO:0003674,GO:0003824,GO:0004479,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006412,GO:0006413,GO:0006418,GO:0006431,GO:0006464,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016741,GO:0016742,GO:0019538,GO:0019752,GO:0019988,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0036211,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043412,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071951,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576"
lcl|CP074585.1_cds_UFH72390.1_82,J,"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008173,GO:0008649,GO:0008757,GO:0009383,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360"
lcl|CP074585.1_cds_UFH72391.1_83,S,-
lcl|CP074585.1_cds_UFH72392.1_84,S,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0071944"
lcl|CP074585.1_cds_UFH74097.1_85,M,-
lcl|CP074585.1_cds_UFH72393.1_86,O,-
lcl|CP074585.1_cds_UFH72394.1_88,J,"GO:0003674,GO:0003824,GO:0004812,GO:0004831,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006437,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576"
lcl|CP074585.1_cds_UFH72395.1_89,F,"GO:0003674,GO:0003824,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0044237"
lcl|CP074585.1_cds_UFH72396.1_90,I,-
lcl|CP074585.1_cds_UFH72397.1_91,C,"GO:0003674,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006091,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009060,GO:0009061,GO:0009987,GO:0010467,GO:0015980,GO:0016043,GO:0016226,GO:0019538,GO:0022607,GO:0031163,GO:0043167,GO:0043169,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0046872,GO:0046914,GO:0048037,GO:0051186,GO:0051536,GO:0051537,GO:0051539,GO:0051540,GO:0051604,GO:0055114,GO:0071704,GO:0071840,GO:1901564"
lcl|CP074585.1_cds_UFH72398.1_92,G,-
lcl|CP074585.1_cds_UFH72399.1_93,G,-
lcl|CP074585.1_cds_UFH72400.1_94,G,-
lcl|CP074585.1_cds_UFH72401.1_95,S,"GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0008144,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363"
lcl|CP074585.1_cds_UFH72402.1_96,S,-
lcl|CP074585.1_cds_UFH72403.1_97,C,-
lcl|CP074585.1_cds_UFH72404.1_98,L,"GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006265,GO:0006351,GO:0006725,GO:0006807,GO:0006996,GO:0007059,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009330,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032774,GO:0032991,GO:0034335,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0042221,GO:0042493,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0097367,GO:0097659,GO:0140097,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576"
